product_id,product_name,brand,price,initial_price,discount,review_count,rating,category_name,root_category_name,available_for_delivery,available_for_pickup,source_product_id,source
PROD_b6e23a172f,PatPat Boys Swim Trunks Family Matching Set Stripe Starts Independence Day Outfits Board Shorts Mommy and Me Bathing Suits,PatPat,9.99,14.99,5.0,188,4.2,Mens Swimwear,Clothing,True,False,1969219390,walmart
PROD_3f16a68eea,"Romanstile 2 Pack Rectangle Tablecloth - Washable Table Cloth Resistance Microfiber Tablecloth Decorative Table Cover for Dining,Party,Outdoor,Tablecloths 60x84inch,Beige",Romanstile,17.0,18.99,2.0,157,4.7,Fabric Tablecloths,Home,True,False,1579063028,walmart
PROD_ed0bcba373,Bella + Canvas Unisex Jersey Short-Sleeve T-Shirt - 3001C,BELLA + CANVAS,8.86,10.05,1.19,31,4.6,Mens T-Shirts,Clothing,True,False,286456181,walmart
PROD_2d000dce8c,IBTOM CASTLE Little Big Girls Flower Vintage Floral Lace 3/4 Sleeves Floor Length Dress Wedding Party Evening Formal Pageant Dance Gown 5-6 Years Blue,Ibtom Castle,29.0,35.98,6.99,90,4.5,Girls Dresses,Clothing,True,False,1914959787,walmart
PROD_93a9b07974,"Revlon Just Bitten Lipstain + Balm 020 Beloved: lipstain .09 Oz., balm .05 Oz.",Revlon,27.0,28.815,11.002,34,3.0,All Makeup,Beauty,True,False,22211125,walmart
PROD_46f9da0df9,"Asklazy Women's Summer Sleeveless Chiffon Blouse Business Casual Tank Flowy Tops for Women,US Size,Wine Red,M",Asklazy,15.0,42.99,28.0,70,4.6,Womens Blouses,Clothing,True,False,5259156723,walmart
PROD_50689bad8e,400 Thread Count White Cotton Sateen Hotel Stitch Duvet Cover in Scalloped Embroidery Twin/TwinXL White Border,Eiderdown Décor,104.0,121.99,17.99,12,4.7,Shop Bedding,Home,True,False,5146321102,walmart
PROD_54ff044a92,"AMITOFO Compression Socks for Women Wide Calf 3 Pairs Men Circulation 20-30mmHg Plus Size Knee High Support Stockings for Medical | Circulation | Nurses | Running | Travel,Black 4XL",AMITOFO,18.0,25.99,8.0,85,4.3,Socks,Clothing,True,False,2890664646,walmart
PROD_b240ff4296,Amay Rod Pocket Curtain Panel Draperies Beige 72 Inch Wide by 72 Inch Long-1 Panel,Amay's,86.4,108.0,21.6,2,3.0,Shop Curtains,Home,True,False,1129949808,walmart
PROD_a20341cf84,BERANMEY Cute Smile Face Slippers for Women Perfect Soft Plush Comfy Warm Slip-On Happy Face Slippers fo Women Indoor fluffy Smile House Slippers for Women and Men Non-slip Fuzzy Flat Slides,BERANMEY,14.0,25.99,12.0,282,4.2,Womens Slide Slippers,Clothing,True,False,5172156163,walmart
